run_id,topo_type,num_nodes,packet_loss_prob,protocol,requests_sent,requests_succeeded,requests_failed,no_route,success_rate,avg_hops,avg_link_fidelity,avg_decoherence_factor,avg_e2e_fidelity,min_e2e_fidelity,max_e2e_fidelity,avg_total_delay_ms,recovery_paths_used,avg_recovery_per_success
17,ErdosRenyi,8,0.000000,QCAST,30,20,10,10,66.666667,1.450000,0.882746,0.876548,0.781974,0.458485,0.987157,44.108303,0,0.000000
18,ErdosRenyi,8,0.000000,Dijkstra,30,19,11,11,63.333333,2.105263,0.858477,0.698658,0.628989,0.018696,0.965818,73.243799,0,0.000000
18,ErdosRenyi,8,0.000000,QCAST,30,19,11,11,63.333333,2.105263,0.858477,0.698658,0.628989,0.018696,0.965818,73.243799,0,0.000000
19,ErdosRenyi,8,0.000000,Dijkstra,30,24,6,6,80.000000,2.291667,0.821952,0.666692,0.564616,0.117992,0.947742,71.129531,0,0.000000
19,ErdosRenyi,8,0.000000,QCAST,30,24,6,6,80.000000,2.291667,0.821952,0.666692,0.564616,0.117992,0.947742,71.129531,0,0.000000
20,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.700000,0.903898,0.814958,0.744055,0.286127,0.994044,47.611211,0,0.000000
20,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,1.700000,0.898991,0.816956,0.742201,0.286127,0.994044,48.553237,0,0.000000
21,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.733333,0.869610,0.816608,0.715755,0.347679,0.989791,52.318895,0,0.000000
21,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,1.766667,0.866028,0.818559,0.716034,0.343077,0.989791,51.000484,0,0.000000
22,ErdosRenyi,8,0.000000,Dijkstra,30,26,4,4,86.666667,1.653846,0.911111,0.865317,0.790999,0.469405,0.994365,41.652559,0,0.000000
22,ErdosRenyi,8,0.000000,QCAST,30,26,4,4,86.666667,1.653846,0.898732,0.853483,0.771583,0.426309,0.994365,43.741095,0,0.000000
23,ErdosRenyi,8,0.000000,Dijkstra,30,8,22,22,26.666667,1.875000,0.850086,0.870209,0.744226,0.552421,0.961416,33.588010,0,0.000000
23,ErdosRenyi,8,0.000000,QCAST,30,8,22,22,26.666667,1.875000,0.850086,0.870209,0.744226,0.552421,0.961416,33.588010,0,0.000000
24,ErdosRenyi,8,0.000000,Dijkstra,30,20,10,10,66.666667,1.700000,0.858064,0.864473,0.746904,0.459784,0.978983,34.725221,0,0.000000
24,ErdosRenyi,8,0.000000,QCAST,30,20,10,10,66.666667,1.700000,0.858064,0.864473,0.746904,0.459784,0.978983,34.725221,0,0.000000
25,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.300000,0.911023,0.915323,0.834549,0.558555,0.990690,39.978751,0,0.000000
25,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,1.300000,0.905643,0.923552,0.837803,0.558555,0.990690,38.264195,0,0.000000
26,ErdosRenyi,8,0.000000,Dijkstra,30,17,13,13,56.666667,1.235294,0.899809,0.927796,0.839989,0.481813,0.958078,39.018125,0,0.000000
26,ErdosRenyi,8,0.000000,QCAST,30,17,13,13,56.666667,1.235294,0.899809,0.927796,0.839989,0.481813,0.958078,39.018125,0,0.000000
27,ErdosRenyi,8,0.000000,Dijkstra,30,30,0,0,100.000000,1.600000,0.841628,0.839565,0.719056,0.274541,0.937460,52.281285,0,0.000000
27,ErdosRenyi,8,0.000000,QCAST,30,30,0,0,100.000000,1.666667,0.837362,0.822894,0.705547,0.096580,0.937460,54.681362,0,0.000000
28,ErdosRenyi,8,0.000000,Dijkstra,30,24,6,6,80.000000,1.625000,0.863377,0.879571,0.763638,0.538289,0.950995,46.805232,0,0.000000
28,ErdosRenyi,8,0.000000,QCAST,30,24,6,6,80.000000,1.666667,0.862595,0.870102,0.755057,0.518879,0.950995,47.767493,0,0.000000
29,ErdosRenyi,8,0.000000,Dijkstra,30,20,10,10,66.666667,2.200000,0.852613,0.661595,0.582841,0.127500,0.939319,73.627344,0,0.000000
29,ErdosRenyi,8,0.000000,QCAST,30,20,10,10,66.666667,2.200000,0.852613,0.661595,0.582841,0.127500,0.939319,73.627344,0,0.000000
30,ErdosRenyi,8,0.000000,Dijkstra,30,21,9,9,70.000000,2.000000,0.853659,0.723453,0.636566,0.072056,0.972131,65.549140,0,0.000000
30,ErdosRenyi,8,0.000000,QCAST,30,21,9,9,70.000000,2.000000,0.848506,0.717441,0.629838,0.072056,0.972131,68.604201,0,0.000000
1,ErdosRenyi,8,0.050000,Dijkstra,30,30,0,0,100.000000,2.100000,0.841340,0.653855,0.562801,0.199663,0.937586,77.025553,0,0.000000
1,ErdosRenyi,8,0.050000,QCAST,30,30,0,0,100.000000,2.100000,0.841340,0.653855,0.562801,0.199663,0.937586,77.025553,0,0.000000
2,ErdosRenyi,8,0.050000,Dijkstra,30,25,5,0,83.333333,1.880000,0.867288,0.770389,0.679906,0.093500,0.940525,51.225917,0,0.000000
2,ErdosRenyi,8,0.050000,QCAST,30,29,1,0,96.666667,2.172414,0.822926,0.695768,0.605819,0.000000,0.940525,59.663621,4,0.137931
3,ErdosRenyi,8,0.050000,Dijkstra,30,17,13,13,56.666667,1.705882,0.882397,0.808860,0.718470,0.271998,0.972845,45.591506,0,0.000000
3,ErdosRenyi,8,0.050000,QCAST,30,17,13,13,56.666667,1.705882,0.882397,0.808860,0.718470,0.271998,0.972845,45.591506,0,0.000000
4,ErdosRenyi,8,0.050000,Dijkstra,30,21,9,8,70.000000,1.666667,0.872389,0.838103,0.739496,0.349600,0.985296,40.489800,0,0.000000
4,ErdosRenyi,8,0.050000,QCAST,30,21,9,8,70.000000,1.666667,0.872389,0.838103,0.739496,0.349600,0.985296,40.489800,0,0.000000
5,ErdosRenyi,8,0.050000,Dijkstra,30,20,10,0,66.666667,1.900000,0.908397,0.756114,0.695036,0.287317,0.982518,50.976233,0,0.000000
5,ErdosRenyi,8,0.050000,QCAST,30,22,8,0,73.333333,2.045455,0.894987,0.728138,0.662387,0.168353,0.982518,54.569647,0,0.000000
6,ErdosRenyi,8,0.050000,Dijkstra,30,20,10,10,66.666667,2.550000,0.769444,0.606946,0.498439,0.059934,0.931601,73.609123,0,0.000000
6,ErdosRenyi,8,0.050000,QCAST,30,20,10,10,66.666667,2.550000,0.769444,0.606946,0.498439,0.059934,0.931601,73.609123,0,0.000000
